Size (bp),some sample
1.00,806.09
2.00,692.57
2.74,517.07
3.49,341.02
4.23,206.68
4.98,124.38
5.72,83.46
6.47,68.03
7.21,64.68
7.96,64.97
8.70,65.47
9.45,65.81
10.19,66.61
10.94,68.03
11.68,68.72
12.43,67.15
13.17,63.20
13.92,57.38
14.66,49.87
15.41,41.41
16.15,33.33
16.90,26.36
17.64,20.50
18.39,15.75
19.13,12.76
19.88,11.86
20.62,11.77
21.37,10.55
22.11,8.04
22.86,6.09
23.60,6.16
24.35,7.48
25.09,7.96
25.84,6.95
26.58,5.91
27.33,5.84
28.07,6.06
28.82,5.70
29.56,4.66
30.31,3.38
31.05,2.25
31.80,1.35
32.54,0.73
33.29,0.65
34.03,1.04
34.78,1.03
35.52,0.17
36.27,-0.47
37.01,-0.05
37.76,0.59
38.50,0.59
39.24,-0.14
39.99,-1.49
40.73,-3.19
41.48,-4.45
42.22,-4.57
42.97,-3.79
43.71,-3.15
44.46,-3.09
45.20,-3.21
45.95,-3.31
46.69,-3.76
47.44,-4.39
48.18,-4.39
48.93,-3.58
49.67,-2.86
50.42,-2.86
51.16,-3.34
51.91,-3.71
52.65,-3.97
53.40,-4.65
54.14,-5.67
54.89,-5.84
55.63,-4.25
56.38,-1.99
57.12,-1.02
57.87,-1.59
58.61,-2.60
59.36,-3.54
60.10,-4.19
60.85,-3.89
61.59,-2.68
62.34,-1.59
63.08,-1.45
63.83,-2.33
64.57,-3.92
65.32,-5.47
66.06,-6.17
66.81,-5.97
67.55,-5.50
68.30,-5.04
69.04,-4.64
69.79,-4.32
70.53,-3.86
71.28,-3.35
72.02,-3.31
72.77,-3.56
73.51,-3.27
74.26,-2.43
75.00,-1.91
76.00,-2.20
77.24,-2.93
78.48,-3.61
79.72,-4.38
80.96,-5.44
82.20,-6.32
83.44,-6.56
84.68,-6.40
85.92,-6.32
87.16,-6.28
88.40,-5.83
89.64,-4.62
90.88,-2.80
92.12,-1.50
93.36,-2.04
94.60,-4.16
95.84,-6.18
97.08,-6.85
98.32,-6.01
99.56,-4.55
100.80,-4.13
102.04,-3.70
103.28,-3.96
104.52,-5.05
105.76,-6.24
107.00,-6.67
108.24,-6.27
109.48,-5.61
110.72,-4.74
111.96,-3.89
113.20,-4.00
114.44,-5.21
115.68,-6.39
116.92,-6.55
118.16,-5.76
119.40,-5.01
120.64,-5.22
121.88,-6.01
123.12,-6.30
124.36,-5.79
125.60,-4.74
126.84,-3.50
128.08,-2.74
129.32,-2.78
130.56,-2.90
131.80,-2.33
133.04,-1.51
134.28,-1.41
135.52,-2.01
136.76,-2.66
138.00,-3.26
139.24,-3.80
140.48,-3.89
141.72,-3.74
142.96,-4.01
144.20,-4.58
145.44,-4.87
146.68,-4.79
147.92,-4.64
149.16,-4.60
150.40,-4.19
151.64,-2.85
152.88,-1.32
154.12,-0.56
155.36,-0.24
156.60,0.21
157.84,0.99
159.08,2.58
160.32,4.45
161.56,5.30
162.80,5.13
164.04,4.50
165.28,3.05
166.52,0.84
167.76,-0.97
169.00,-1.71
170.24,-2.09
171.48,-2.94
