start_time,exit_status,mean_qscore_template,sequence_length_template,mean_qscore_complement,sequence_length_complement,mean_qscore_2d,sequence_length_2d,run_id
274.089,2D basecall failed quality filters,,,,,7.418,622,dee06345d2f99f17ce01306bad92c65d38381a26
86.800,S_NO2D,,,,,,,dee06345d2f99f17ce01306bad92c65d38381a26
132.143,S_OK,,,,,13.095,908,dee06345d2f99f17ce01306bad92c65d38381a26
255.815,S_OK,,,,,9.499,1163,dee06345d2f99f17ce01306bad92c65d38381a26
369.379,S_NO2D,,,,,,,dee06345d2f99f17ce01306bad92c65d38381a26
344.412,S_OK,,,,,12.441,1029,dee06345d2f99f17ce01306bad92c65d38381a26
86.263,S_OK,,,,,11.307,1039,dee06345d2f99f17ce01306bad92c65d38381a26
236.855,S_OK,,,,,11.857,763,f9af78a208e192d69dba03a4542d58a9605309fc
51.757,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
365.029,S_OK,,,,,12.031,2145,dee06345d2f99f17ce01306bad92c65d38381a26
139.634,S_OK,,,,,11.032,553,f9af78a208e192d69dba03a4542d58a9605309fc
228.498,S_OK,,,,,11.476,4399,dee06345d2f99f17ce01306bad92c65d38381a26
138.682,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
187.552,S_OK,,,,,15.319,810,f9af78a208e192d69dba03a4542d58a9605309fc
253.972,S_OK,,,,,11.868,792,f9af78a208e192d69dba03a4542d58a9605309fc
318.878,S_OK,,,,,11.546,748,dee06345d2f99f17ce01306bad92c65d38381a26
121.480,S_NO2D,,,,,,,dee06345d2f99f17ce01306bad92c65d38381a26
158.362,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
370.512,S_NO2D,,,,,,,dee06345d2f99f17ce01306bad92c65d38381a26
28.611,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
235.140,2D basecall failed quality filters,,,,,6.435,728,dee06345d2f99f17ce01306bad92c65d38381a26
223.774,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
243.985,S_OK,,,,,12.837,3534,dee06345d2f99f17ce01306bad92c65d38381a26
219.635,S_NO2D,,,,,,,dee06345d2f99f17ce01306bad92c65d38381a26
231.089,S_NO2D,,,,,,,dee06345d2f99f17ce01306bad92c65d38381a26
204.605,S_OK,,,,,12.246,1149,f9af78a208e192d69dba03a4542d58a9605309fc
135.691,S_OK,,,,,10.050,977,f9af78a208e192d69dba03a4542d58a9605309fc
189.858,S_OK,,,,,14.256,1467,f9af78a208e192d69dba03a4542d58a9605309fc
85.854,S_NO2D,,,,,,,dee06345d2f99f17ce01306bad92c65d38381a26
377.712,S_NO2D,,,,,,,dee06345d2f99f17ce01306bad92c65d38381a26
55.355,S_OK,,,,,11.487,962,dee06345d2f99f17ce01306bad92c65d38381a26
122.439,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
248.520,2D basecall failed quality filters,,,,,7.315,932,dee06345d2f99f17ce01306bad92c65d38381a26
45.785,S_NO2D,,,,,,,dee06345d2f99f17ce01306bad92c65d38381a26
345.030,S_OK,,,,,13.204,1137,dee06345d2f99f17ce01306bad92c65d38381a26
346.738,S_OK,,,,,12.958,1483,dee06345d2f99f17ce01306bad92c65d38381a26
147.202,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
129.075,S_NO2D,,,,,,,dee06345d2f99f17ce01306bad92c65d38381a26
225.335,2D basecall failed quality filters,,,,,8.749,984,dee06345d2f99f17ce01306bad92c65d38381a26
261.233,S_OK,,,,,12.619,726,dee06345d2f99f17ce01306bad92c65d38381a26
